folioviv	ingresotrim	edad	hor_1	hijos_viv	antiguedad	focos_inca	focos_ahor	renta	estim_pago	tot_resid	tot_hom	tot_muj	tot_hog	factor
100003801	54590.15	33	40	0	0	3	8	2700	0	2	1	1	1	247
100003802	47213.11	29	75	0	0	0	7	3000	0	2	1	1	1	247
100003803	82622.95	47	0	0	20	0	17	0	4000	6	2	4	1	247
100003804	30737.69	29	40	0	0	3	10	4000	0	3	0	3	1	247
100003805	42295.07	55	37	0	7	0	12	0	5000	2	2	0	1	247
100010401	73076.07	66	36	0	16	10	10	0	5000	5	2	3	1	200
100010402	14673.91	74	0	3	36	0	8	0	4000	2	1	1	1	200
100010404	16141.3	83	0	0	35	0	8	0	1300	2	1	1	1	200
100010405	58695.65	62	0	0	15	0	10	0	3000	1	0	1	1	200
100010406	49548.89	53	57	0	33	2	5	0	3500	4	2	2	1	200
100027701	415081.95	50	56	3	16	26	26	0	30000	3	1	2	1	205
100027702	1549.18	69	0	0	27	0	30	0	15000	5	1	4	1	205
100027703	6049.17	82	0	12	40	0	7	0	3000	2	0	2	1	205
100027706	14262.29	48	35	0	27	0	10	0	3000	4	2	2	1	205
100031901	1956.52	41	56	4	0	3	2	1500	0	9	4	5	1	182
100031902	7043.47	66	0	0	30	2	0	0	1000	1	1	0	1	182
100031903	14380.42	54	48	0	40	6	0	0	2500	4	3	1	1	182
100031904	15285.32	45	48	0	0	2	3	0	2000	4	2	2	1	182
100031905	40940.2	35	30	3	25	0	9	2600	0	4	2	2	1	182
100031906	7336.95	40	35	2	38	0	6	0	1500	3	1	2	1	182
100041501	11093.47	73	0	4	13	0	25	0	8000	2	1	1	1	201
100041502	20201.07	33	12	0	25	1	12	0	3000	1	1	0	1	201
100041505	138228.24	54	84	0	0	15	15	0	5000	4	3	1	1	201
100041506	32282.6	81	0	0	35	0	8	0	1000	5	1	4	1	201
100062601	1711.47	87	0	10	46	0	14	0	1000	3	1	2	1	181
100062603	13032.77	36	0	4	0	0	3	1200	0	6	1	5	1	181
100062604	23222.95	92	0	0	50	6	5	0	2000	3	2	1	1	181
100062605	7672.13	74	0	0	40	0	9	0	2500	2	1	1	1	181
100062606	422.95	64	20	1	64	0	6	0	500	1	0	1	1	181
100068001	7336.95	73	0	0	51	0	6	0	1500	2	1	1	1	160
100068002	30326.08	64	12	0	0	3	6	0	3000	3	1	2	1	160
100068003	10213.03	82	20	0	35	8	4	0	1500	8	4	4	2	160
100068004	14086.94	50	48	0	15	0	10	0	2000	5	2	3	1	160
100068005	11739.13	84	0	0	0	6	0	0	1000	1	1	0	1	160
100068006	39130.41	30	56	0	0	0	8	800	0	3	2	1	1	160
